State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date,Number of Hospitals Fewer,Number of Hospitals Average,Number of Hospitals More,Number of Hospitals Too Small
VT,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,9,0,1,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,31,0,6,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,11,0,8,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,29,7,19
CA,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,21,120,45,119
MP,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
MS,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,16,7,48
NH,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,11,1,14
NY,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,57,49,52
SC,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,18,9,27
TN,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,38,8,51
VT,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,5,0,7
WV,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,13,9,23
WY,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,3,1,17
AZ,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,10,39,6,17
CA,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,37,167,65,55
MP,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
MS,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,60,11,17
NH,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,6,18,2,0
NY,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,54,99,11
SC,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,5,34,16,8
TN,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,5,74,16,13
VT,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,8,1,1
WV,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,25,11,12
WY,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,6,12,1,7
AZ,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,9,50,9,7
CA,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,32,160,96,41
MP,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
MS,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,61,24,6
NH,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,5,20,1,0
NY,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,5,51,106,7
SC,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,36,23,3
TN,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,9,69,21,10
VT,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,9,1,0
WV,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,30,13,2
WY,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,12,1,6
